origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,mejor_ruta,num_estaciones,num_transbordos,tiempo_total,congestion_promedio,num_alternativas,num_estaciones_alternativas,calidad_ruta
Av. Rojas,Toberin,6,20,Normal,0,1,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,23,21,68.8,0.174,1,23,0.0
Toberin,Calle 63,5,22,Lluvia fuerte,0,1,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63,17,15,71.88,0.176,1,17,0.0
Comuneros,Calle 100,3,9,Lluvia fuerte,1,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,15,13,108.42,0.687,1,15,0.0
Calle 45,Portal El Dorado,4,13,Normal,0,0,Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,7,5,28.4,0.5,1,7,0.0
Toberin,Calle 100,3,22,Lluvia fuerte,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100,10,8,49.5,0.46,1,10,0.0
Toberin,Santa Isabel,0,11,Normal,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,25,23,93.2,0.46,1,25,0.0
Portal Norte,El Tiempo,2,15,Normal,0,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,23,21,86.9,0.483,1,23,0.0
Alcala,Calle 106,6,14,Lluvia fuerte,0,1,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106,5,3,18.48,0.16,1,5,4.1
Mazuren,Av. Jimenez,5,5,Lluvia,0,1,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,20,18,72.96,0.18,1,20,0.0
Calle 76,Toberin,6,9,Normal,1,1,Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,14,12,51.9,0.371,1,14,0.0
Prado,Heroes,6,19,Lluvia fuerte,1,1,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes,8,6,44.93,0.425,1,8,0.0
Av. Jimenez,Pepe Sierra,6,13,Lluvia fuerte,0,1,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,15,13,68.88,0.2,1,15,0.0
Alcala,Av. Rojas,2,21,Lluvia,0,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,19,17,87.0,0.489,1,19,0.0
Calle 127,Ricaurte,2,22,Lluvia,0,0,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,20,18,91.56,0.49,1,20,0.0
Calle 72,Comuneros,0,10,Normal,0,0,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,10,8,35.9,0.46,1,10,0.0
Calle 127,Prado,1,19,Lluvia fuerte,1,0,Calle 127|Prado,2,0,7.02,0.8,1,2,7.25
Cardio Infantil,Calle 127,3,17,Lluvia fuerte,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127,6,4,34.32,0.633,1,6,0.38
Calle 106,Salitre El Greco,0,9,Normal,1,0,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco,13,11,64.74,0.7,1,13,0.0
Calle 26,Calle 142,4,6,Lluvia,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,17,15,97.97,0.688,1,17,0.0
Calle 106,Cardio Infantil,6,18,Lluvia,1,1,Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,8,6,31.7,0.325,1,8,0.0
Calle 106,Av. Rojas,1,15,Normal,0,0,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,15,13,57.1,0.487,1,15,0.0
Calle 26,Calle 76,3,11,Lluvia fuerte,0,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,7,5,34.8,0.5,1,7,0.0
Mazuren,Ricaurte,5,14,Lluvia,0,1,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,24,22,86.98,0.167,1,24,0.0
Flores,Marly,2,16,Normal,1,0,Flores|Calle 63|Calle 45|Marly,4,2,13.52,0.6,1,4,4.52
El Tiempo,Calle 72,5,6,Lluvia,1,1,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,8,6,35.07,0.375,1,8,0.0
Salitre El Greco,Ricaurte,3,20,Lluvia,0,0,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,8,6,35.88,0.475,1,8,0.0
Calle 85,Alcala,5,9,Normal,1,1,Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,8,6,29.64,0.375,1,8,0.0
Salitre El Greco,Cardio Infantil,5,5,Lluvia fuerte,0,1,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,20,18,90.36,0.18,1,20,0.0
Comuneros,Calle 72,1,5,Lluvia,0,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,10,8,42.72,0.46,1,10,0.0
Santa Isabel,Av. Rojas,1,13,Lluvia,0,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,9,7,39.96,0.433,1,9,0.0
Calle 72,Calle 26,1,20,Normal,0,0,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26,6,4,19.5,0.5,1,6,1.53
Salitre El Greco,Portal El Dorado,0,21,Lluvia,0,0,Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,4,2,16.68,0.5,1,4,4.67
Profamilia,Salitre El Greco,1,15,Lluvia,0,0,Profamilia|Calle 26|Salitre El Greco,3,1,12.0,0.5,1,3,6.4
Tercer Milenio,Comuneros,5,16,Lluvia,1,1,Tercer Milenio|Comuneros,2,0,3.74,0.2,1,2,9.21
Portal El Dorado,Calle 106,1,12,Lluvia,0,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,16,14,77.4,0.5,1,16,0.0
Tercer Milenio,Calle 142,1,15,Normal,0,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,20,18,75.8,0.48,1,20,0.0
Portal El Dorado,Calle 26,5,13,Lluvia fuerte,0,1,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26,5,3,24.12,0.24,1,5,3.57
Marly,Alcala,6,19,Normal,1,1,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,15,13,55.95,0.387,1,15,0.0
Mazuren,Toberin,2,21,Lluvia,0,0,Mazuren|Cardio Infantil|Toberin,3,1,7.56,0.433,1,3,6.82
Ricaurte,Mazuren,4,21,Lluvia fuerte,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,24,22,137.4,0.467,1,24,0.0
Calle 72,Calle 142,5,11,Normal,0,1,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,12,10,34.56,0.2,1,12,0.0
Calle 72,Av. Rojas,1,15,Normal,0,0,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,9,7,32.8,0.478,1,9,0.0
Pepe Sierra,Calle 45,2,5,Normal,0,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,11,9,38.6,0.482,1,11,0.0
Comuneros,Calle 142,1,19,Lluvia,1,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,21,19,122.93,0.671,1,21,0.0
Cardio Infantil,Tercer Milenio,2,17,Lluvia fuerte,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,22,20,161.66,0.673,1,22,0.0
Calle 100,Av. Rojas,4,5,Normal,0,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,14,12,53.1,0.5,1,14,0.0
Cardio Infantil,Av. Rojas,1,21,Lluvia,0,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,22,20,99.36,0.473,1,22,0.0
Calle 72,Santa Isabel,3,8,Normal,1,0,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,11,9,51.87,0.645,1,11,0.0
Calle 100,Portal Norte,3,5,Lluvia,0,0,Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,11,9,45.48,0.482,1,11,0.0
Tercer Milenio,Portal El Dorado,4,20,Lluvia fuerte,0,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,8,6,49.35,0.5,1,8,0.0
Calle 72,Av. Jimenez,5,20,Lluvia fuerte,0,1,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,8,6,35.16,0.2,1,8,0.0
Calle 45,Heroes,2,9,Normal,1,0,Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,6,4,22.36,0.7,1,6,0.78
Calle 127,Cardio Infantil,1,7,Lluvia fuerte,1,0,Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,6,4,35.1,0.633,1,6,0.34
Calle 127,Calle 142,5,10,Lluvia fuerte,0,1,Calle 127|Prado|Alcala|Calle 142,4,2,13.2,0.15,1,4,5.89
Pepe Sierra,Av. Jimenez,0,6,Lluvia fuerte,1,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,15,13,110.96,0.7,1,15,0.0
Toberin,Av. Jimenez,2,5,Lluvia fuerte,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,22,20,123.9,0.482,1,22,0.0
Salitre El Greco,Tercer Milenio,1,11,Lluvia fuerte,0,0,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,5,3,28.35,0.5,1,5,2.58
Av. Rojas,Pepe Sierra,2,9,Normal,1,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,16,14,78.39,0.688,1,16,0.0
Calle 45,Calle 85,1,12,Lluvia fuerte,0,0,Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,7,5,33.0,0.5,1,7,0.0
Ricaurte,Cardio Infantil,6,22,Lluvia,0,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,25,23,90.82,0.168,1,25,0.0
Marly,Av. Rojas,5,11,Lluvia fuerte,0,1,Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,5,3,22.56,0.2,1,5,3.77
Heroes,Tercer Milenio,2,16,Normal,1,0,Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,11,9,51.74,0.7,1,11,0.0
Calle 26,Profamilia,2,6,Normal,1,0,Calle 26|Profamilia,2,0,6.24,0.7,1,2,7.59
Calle 100,Cardio Infantil,1,8,Lluvia,1,0,Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,9,7,47.11,0.656,1,9,0.0
Marly,Calle 85,5,18,Normal,1,1,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,8,6,26.31,0.4,1,8,0.0
Calle 85,Alcala,4,11,Lluvia,0,0,Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,8,6,34.2,0.475,1,8,0.0
Calle 72,Cardio Infantil,3,18,Lluvia fuerte,1,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,14,12,97.89,0.686,1,14,0.0
Pepe Sierra,Calle 85,2,11,Lluvia,0,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,5,3,19.56,0.46,1,5,3.14
Calle 72,Toberin,6,15,Lluvia fuerte,0,1,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,15,13,64.2,0.187,1,15,0.0
Heroes,Calle 100,3,14,Lluvia fuerte,0,0,Heroes|Calle 85|Virrey|Calle 100,4,2,19.65,0.55,1,4,4.37
Av. Rojas,Av. Jimenez,0,20,Lluvia fuerte,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez,6,4,34.05,0.5,1,6,0.8
Calle 63,Av. Rojas,5,15,Lluvia fuerte,0,1,Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,7,5,31.44,0.171,1,7,0.41
Av. Jimenez,Heroes,0,12,Lluvia fuerte,0,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,10,8,54.75,0.52,1,10,0.0
Comuneros,Flores,5,14,Lluvia,0,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores,9,7,31.3,0.133,1,9,0.0
Heroes,Alcala,6,15,Lluvia fuerte,0,1,Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,9,7,39.96,0.2,1,9,0.0
Ricaurte,Comuneros,2,12,Lluvia fuerte,0,0,Ricaurte|Santa Isabel|Comuneros,3,1,13.2,0.433,1,3,6.54
Av. Rojas,Salitre El Greco,1,17,Lluvia,1,0,Av. Rojas|El Tiempo|Salitre El Greco,3,1,11.54,0.633,1,3,6.02
Prado,Calle 72,3,11,Lluvia,0,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72,10,8,42.84,0.54,1,10,0.0
Flores,Virrey,6,15,Lluvia fuerte,0,1,Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,6,4,21.6,0.2,1,6,2.32
Av. Jimenez,Santa Isabel,2,9,Lluvia fuerte,1,0,Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,4,2,20.67,0.6,1,4,4.17
Calle 76,Calle 72,1,7,Lluvia fuerte,1,0,Calle 76|Calle 72,2,0,6.44,0.8,1,2,7.28
Mazuren,Av. Jimenez,5,22,Lluvia fuerte,0,1,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,20,18,91.2,0.18,1,20,0.0
El Tiempo,Calle 76,5,17,Normal,1,1,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,9,7,32.97,0.378,1,9,0.0
Mazuren,Prado,3,18,Lluvia,1,0,Mazuren|Calle 142|Alcala|Prado,4,2,17.16,0.55,1,4,4.49
Cardio Infantil,Marly,1,12,Lluvia,0,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,18,16,76.8,0.467,1,18,0.0
Calle 45,Marly,1,21,Normal,0,0,Calle 45|Marly,2,0,3.0,0.4,1,2,8.65
Portal El Dorado,Prado,4,7,Normal,1,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,19,17,98.15,0.711,1,19,0.0
Salitre El Greco,Av. Jimenez,2,13,Lluvia fuerte,0,0,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez,4,2,22.95,0.55,1,4,4.2
Calle 26,El Tiempo,0,17,Lluvia fuerte,1,0,Calle 26|Salitre El Greco|El Tiempo,3,1,18.14,0.7,1,3,5.49
Marly,Ricaurte,1,14,Lluvia fuerte,0,0,Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,8,6,44.85,0.475,1,8,0.0
Cardio Infantil,Flores,6,19,Lluvia,1,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores,15,13,66.89,0.373,1,15,0.0
Calle 85,Comuneros,0,16,Lluvia fuerte,1,0,Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,13,11,92.04,0.685,1,13,0.0
Tercer Milenio,Calle 72,2,8,Normal,1,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,9,7,42.38,0.678,1,9,0.0
Portal Norte,Av. Jimenez,5,13,Normal,0,1,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,23,21,69.92,0.191,1,23,0.0
Salitre El Greco,Comuneros,6,18,Lluvia,1,1,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,6,4,27.33,0.367,1,6,1.53
Calle 72,Profamilia,5,13,Lluvia,0,1,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia,7,5,23.33,0.171,1,7,0.82
Portal Norte,Toberin,3,16,Normal,1,0,Portal Norte|Toberin,2,0,6.24,0.8,1,2,7.29
Calle 142,Prado,1,18,Lluvia,1,0,Calle 142|Alcala|Prado,3,1,10.92,0.567,1,3,6.25
Calle 26,Calle 76,5,13,Lluvia fuerte,0,1,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,7,5,27.84,0.2,1,7,0.51
Calle 45,El Tiempo,0,19,Lluvia,1,0,Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,5,3,27.77,0.66,1,5,2.13
Heroes,Santa Isabel,6,12,Lluvia,0,1,Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,13,11,44.93,0.169,1,13,0.0
Alcala,Comuneros,0,11,Lluvia fuerte,0,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,20,18,113.4,0.48,1,20,0.0
Pepe Sierra,Calle 100,1,13,Lluvia,0,0,Pepe Sierra|Calle 106|Calle 100,3,1,8.76,0.5,1,3,6.56
Calle 100,Alcala,3,10,Lluvia fuerte,0,0,Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,6,4,30.3,0.5,1,6,0.98
Calle 76,Calle 63,1,12,Lluvia,0,0,Calle 76|Calle 72|Flores|Calle 63,4,2,11.88,0.5,1,4,4.91
Salitre El Greco,Calle 106,5,15,Lluvia,0,1,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,13,11,47.9,0.2,1,13,0.0
Portal El Dorado,Prado,6,15,Normal,0,1,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,19,17,60.4,0.211,1,19,0.0
Portal Norte,Tercer Milenio,2,22,Normal,0,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,24,22,91.0,0.483,1,24,0.0
Portal Norte,Pepe Sierra,1,11,Normal,0,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra,9,7,30.5,0.478,1,9,0.0
Marly,Calle 63,4,14,Lluvia,0,0,Marly|Calle 45|Calle 63,3,1,8.76,0.433,1,3,6.76
Calle 72,Calle 63,3,6,Lluvia,1,0,Calle 72|Flores|Calle 63,3,1,10.3,0.7,1,3,5.89
Calle 26,Santa Isabel,4,18,Lluvia,1,0,Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,6,4,31.82,0.633,1,6,0.51
Toberin,Calle 76,3,16,Lluvia fuerte,1,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76,14,12,97.5,0.671,1,14,0.0
Santa Isabel,Calle 106,6,18,Normal,1,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,17,15,66.98,0.365,1,17,0.0
Heroes,Av. Rojas,1,13,Lluvia fuerte,0,0,Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,11,9,59.55,0.5,1,11,0.0
Portal El Dorado,Calle 100,4,11,Normal,0,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,15,13,59.7,0.513,1,15,0.0
Ricaurte,Calle 45,6,14,Lluvia,0,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45,9,7,32.74,0.156,1,9,0.0
Calle 106,Comuneros,0,14,Lluvia,0,0,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,16,14,72.24,0.475,1,16,0.0
Marly,Cardio Infantil,3,17,Lluvia fuerte,1,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,18,16,124.41,0.667,1,18,0.0
Profamilia,Santa Isabel,5,11,Lluvia fuerte,0,1,Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,5,3,18.72,0.08,1,5,4.32
Salitre El Greco,Calle 63,4,9,Lluvia,1,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63,5,3,29.33,0.7,1,5,1.93
